,success,timestamp,historical,base,date,rates
AED,True,1643241599,True,EUR,2022-01-26,4.129161
AFN,True,1643241599,True,EUR,2022-01-26,116.069979
ALL,True,1643241599,True,EUR,2022-01-26,120.84669
AMD,True,1643241599,True,EUR,2022-01-26,542.375153
ANG,True,1643241599,True,EUR,2022-01-26,2.017874
AOA,True,1643241599,True,EUR,2022-01-26,594.091398
ARS,True,1643241599,True,EUR,2022-01-26,117.704514
AUD,True,1643241599,True,EUR,2022-01-26,1.57866
AWG,True,1643241599,True,EUR,2022-01-26,2.017874
AZN,True,1643241599,True,EUR,2022-01-26,1.911286
BAM,True,1643241599,True,EUR,2022-01-26,1.949429
BBD,True,1643241599,True,EUR,2022-01-26,2.269847
BDT,True,1643241599,True,EUR,2022-01-26,96.651752
BGN,True,1643241599,True,EUR,2022-01-26,1.955963
BHD,True,1643241599,True,EUR,2022-01-26,0.423864
BIF,True,1643241599,True,EUR,2022-01-26,2264.066093
BMD,True,1643241599,True,EUR,2022-01-26,1.124164
BND,True,1643241599,True,EUR,2022-01-26,1.511437
BOB,True,1643241599,True,EUR,2022-01-26,7.751249
BRL,True,1643241599,True,EUR,2022-01-26,6.107274
BSD,True,1643241599,True,EUR,2022-01-26,1.124209
BTC,True,1643241599,True,EUR,2022-01-26,3.0497335e-05
BTN,True,1643241599,True,EUR,2022-01-26,84.143322
BWP,True,1643241599,True,EUR,2022-01-26,12.929148
BYN,True,1643241599,True,EUR,2022-01-26,2.939748
BYR,True,1643241599,True,EUR,2022-01-26,22033.612429
BZD,True,1643241599,True,EUR,2022-01-26,2.26606
CAD,True,1643241599,True,EUR,2022-01-26,1.423073
CDF,True,1643241599,True,EUR,2022-01-26,2253.948872
CHF,True,1643241599,True,EUR,2022-01-26,1.038807
CLF,True,1643241599,True,EUR,2022-01-26,0.032715
CLP,True,1643241599,True,EUR,2022-01-26,902.703726
CNY,True,1643241599,True,EUR,2022-01-26,7.105954
COP,True,1643241599,True,EUR,2022-01-26,4417.964125
CRC,True,1643241599,True,EUR,2022-01-26,719.288276
CUC,True,1643241599,True,EUR,2022-01-26,1.124164
CUP,True,1643241599,True,EUR,2022-01-26,29.790343
CVE,True,1643241599,True,EUR,2022-01-26,110.420983
CZK,True,1643241599,True,EUR,2022-01-26,24.532064
DJF,True,1643241599,True,EUR,2022-01-26,199.786281
DKK,True,1643241599,True,EUR,2022-01-26,7.442419
DOP,True,1643241599,True,EUR,2022-01-26,64.865578
DZD,True,1643241599,True,EUR,2022-01-26,157.444792
EGP,True,1643241599,True,EUR,2022-01-26,17.694265
ERN,True,1643241599,True,EUR,2022-01-26,16.86248
ETB,True,1643241599,True,EUR,2022-01-26,55.926763
EUR,True,1643241599,True,EUR,2022-01-26,1.0
FJD,True,1643241599,True,EUR,2022-01-26,2.410881
FKP,True,1643241599,True,EUR,2022-01-26,0.818301
GBP,True,1643241599,True,EUR,2022-01-26,0.834748
GEL,True,1643241599,True,EUR,2022-01-26,3.44555
GGP,True,1643241599,True,EUR,2022-01-26,0.818301
GHS,True,1643241599,True,EUR,2022-01-26,7.014902
GIP,True,1643241599,True,EUR,2022-01-26,0.818301
GMD,True,1643241599,True,EUR,2022-01-26,59.187049
GNF,True,1643241599,True,EUR,2022-01-26,10145.579477
GTQ,True,1643241599,True,EUR,2022-01-26,8.642124
GYD,True,1643241599,True,EUR,2022-01-26,235.197747
HKD,True,1643241599,True,EUR,2022-01-26,8.753431
HNL,True,1643241599,True,EUR,2022-01-26,27.626258
HRK,True,1643241599,True,EUR,2022-01-26,7.529627
HTG,True,1643241599,True,EUR,2022-01-26,115.691138
HUF,True,1643241599,True,EUR,2022-01-26,360.238351
IDR,True,1643241599,True,EUR,2022-01-26,16150.244453
ILS,True,1643241599,True,EUR,2022-01-26,3.572278
IMP,True,1643241599,True,EUR,2022-01-26,0.818301
INR,True,1643241599,True,EUR,2022-01-26,84.202689
IQD,True,1643241599,True,EUR,2022-01-26,1640.717211
IRR,True,1643241599,True,EUR,2022-01-26,47495.924515
ISK,True,1643241599,True,EUR,2022-01-26,145.410348
JEP,True,1643241599,True,EUR,2022-01-26,0.818302
JMD,True,1643241599,True,EUR,2022-01-26,175.389124
JOD,True,1643241599,True,EUR,2022-01-26,0.797017
JPY,True,1643241599,True,EUR,2022-01-26,128.966304
KES,True,1643241599,True,EUR,2022-01-26,127.648381
KGS,True,1643241599,True,EUR,2022-01-26,95.322019
KHR,True,1643241599,True,EUR,2022-01-26,4566.916348
KMF,True,1643241599,True,EUR,2022-01-26,490.388457
KPW,True,1643241599,True,EUR,2022-01-26,1011.747686
KRW,True,1643241599,True,EUR,2022-01-26,1349.901649
KWD,True,1643241599,True,EUR,2022-01-26,0.340003
KYD,True,1643241599,True,EUR,2022-01-26,0.936824
KZT,True,1643241599,True,EUR,2022-01-26,489.243608
LAK,True,1643241599,True,EUR,2022-01-26,12708.673257
LBP,True,1643241599,True,EUR,2022-01-26,1699.735903
LKR,True,1643241599,True,EUR,2022-01-26,228.068755
LRD,True,1643241599,True,EUR,2022-01-26,171.153573
LSL,True,1643241599,True,EUR,2022-01-26,17.064646
LTL,True,1643241599,True,EUR,2022-01-26,3.319364
LVL,True,1643241599,True,EUR,2022-01-26,0.679996
LYD,True,1643241599,True,EUR,2022-01-26,5.154281
MAD,True,1643241599,True,EUR,2022-01-26,10.484518
MDL,True,1643241599,True,EUR,2022-01-26,20.100402
MGA,True,1643241599,True,EUR,2022-01-26,4496.655647
MKD,True,1643241599,True,EUR,2022-01-26,61.635148
MMK,True,1643241599,True,EUR,2022-01-26,1998.799106
MNT,True,1643241599,True,EUR,2022-01-26,3213.794789
MOP,True,1643241599,True,EUR,2022-01-26,9.015
MRO,True,1643241599,True,EUR,2022-01-26,401.326319
MUR,True,1643241599,True,EUR,2022-01-26,49.467432
MVR,True,1643241599,True,EUR,2022-01-26,17.367972
MWK,True,1643241599,True,EUR,2022-01-26,916.19422
MXN,True,1643241599,True,EUR,2022-01-26,23.289495
MYR,True,1643241599,True,EUR,2022-01-26,4.711936
MZN,True,1643241599,True,EUR,2022-01-26,71.755646
NAD,True,1643241599,True,EUR,2022-01-26,17.064761
NGN,True,1643241599,True,EUR,2022-01-26,466.888141
NIO,True,1643241599,True,EUR,2022-01-26,39.851861
NOK,True,1643241599,True,EUR,2022-01-26,10.051377
NPR,True,1643241599,True,EUR,2022-01-26,134.628957
NZD,True,1643241599,True,EUR,2022-01-26,1.687977
OMR,True,1643241599,True,EUR,2022-01-26,0.432815
PAB,True,1643241599,True,EUR,2022-01-26,1.124209
PEN,True,1643241599,True,EUR,2022-01-26,4.315102
PGK,True,1643241599,True,EUR,2022-01-26,3.945462
PHP,True,1643241599,True,EUR,2022-01-26,57.872299
PKR,True,1643241599,True,EUR,2022-01-26,199.088159
PLN,True,1643241599,True,EUR,2022-01-26,4.585767
PYG,True,1643241599,True,EUR,2022-01-26,7903.050976
QAR,True,1643241599,True,EUR,2022-01-26,4.09312
RON,True,1643241599,True,EUR,2022-01-26,4.944524
RSD,True,1643241599,True,EUR,2022-01-26,117.626837
RUB,True,1643241599,True,EUR,2022-01-26,89.07268
RWF,True,1643241599,True,EUR,2022-01-26,1142.150522
SAR,True,1643241599,True,EUR,2022-01-26,4.217152
SBD,True,1643241599,True,EUR,2022-01-26,9.069567
SCR,True,1643241599,True,EUR,2022-01-26,15.142275
SDG,True,1643241599,True,EUR,2022-01-26,495.192123
SEK,True,1643241599,True,EUR,2022-01-26,10.464246
SGD,True,1643241599,True,EUR,2022-01-26,1.515682
SHP,True,1643241599,True,EUR,2022-01-26,1.548426
SLL,True,1643241599,True,EUR,2022-01-26,12742.397882
SOS,True,1643241599,True,EUR,2022-01-26,657.636213
SRD,True,1643241599,True,EUR,2022-01-26,23.741961
STD,True,1643241599,True,EUR,2022-01-26,23267.92304
SVC,True,1643241599,True,EUR,2022-01-26,9.836702
SYP,True,1643241599,True,EUR,2022-01-26,2823.899463
SZL,True,1643241599,True,EUR,2022-01-26,17.064323
THB,True,1643241599,True,EUR,2022-01-26,37.235117
TJS,True,1643241599,True,EUR,2022-01-26,12.697608
TMT,True,1643241599,True,EUR,2022-01-26,3.945815
TND,True,1643241599,True,EUR,2022-01-26,3.24603
TOP,True,1643241599,True,EUR,2022-01-26,2.549547
TRY,True,1643241599,True,EUR,2022-01-26,15.265135
TTD,True,1643241599,True,EUR,2022-01-26,7.632639
TWD,True,1643241599,True,EUR,2022-01-26,31.116292
TZS,True,1643241599,True,EUR,2022-01-26,2596.818267
UAH,True,1643241599,True,EUR,2022-01-26,32.363836
UGX,True,1643241599,True,EUR,2022-01-26,3962.788507
USD,True,1643241599,True,EUR,2022-01-26,1.124164
UYU,True,1643241599,True,EUR,2022-01-26,50.042689
UZS,True,1643241599,True,EUR,2022-01-26,12169.074358
VEF,True,1643241599,True,EUR,2022-01-26,240380216556.88907
VND,True,1643241599,True,EUR,2022-01-26,25445.449863
VUV,True,1643241599,True,EUR,2022-01-26,127.7853
WST,True,1643241599,True,EUR,2022-01-26,2.936702
XAF,True,1643241599,True,EUR,2022-01-26,653.810267
XAG,True,1643241599,True,EUR,2022-01-26,0.047645
XAU,True,1643241599,True,EUR,2022-01-26,0.000617
XCD,True,1643241599,True,EUR,2022-01-26,3.038109
XDR,True,1643241599,True,EUR,2022-01-26,0.803562
XOF,True,1643241599,True,EUR,2022-01-26,652.584424
XPF,True,1643241599,True,EUR,2022-01-26,119.583002
YER,True,1643241599,True,EUR,2022-01-26,281.321418
ZAR,True,1643241599,True,EUR,2022-01-26,17.23087
ZMK,True,1643241599,True,EUR,2022-01-26,10118.824807
ZMW,True,1643241599,True,EUR,2022-01-26,19.892385
ZWL,True,1643241599,True,EUR,2022-01-26,361.980317
